model,brand,ram,storage,price,processor,gpu,chipset,battery,battery_capacity,ram_storage_combo
nubia RedMagic 10S Pro,nubia,12,256,3999,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),Si/C Li-Ion 7050 mAh battery80W wired,7050.0,3072
nubia RedMagic 10S Pro (Variant 1),nubia,16,512,4899,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Si/C Li-Ion 7050 mAh battery80W wired,7050.0,8192
nubia RedMagic 10S Pro (Variant 2),nubia,24,1024,5999,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm),Si/C Li-Ion 7050 mAh battery80W wired,7050.0,24576
Oppo A5i,Oppo,4,128,399,Octa-core (4x2.1 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),Adreno 610,Qualcomm SM-6115 Snapdragon 6s 4G Gen1 (11 nm),"5100mAh/19.95Wh, 45W SUPERVOOC TM Flash Charge, USB Type-C",5100.0,512
Realme P3 Ultra,Realme,12,256,1699,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 Ultra (4 nm),"Si/C Li-Ion 6000 mAh battery80W wired, PD, 100% in 47 min\r\n5W reverse wired\r\nBypass charging",6000.0,3072
realme C71,realme,6,128,499,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,Unisoc T7250 (12 nm),"6300 mAh battery45W wired, 50% in 36 min\r\n6W reverse wired",6300.0,768
Honor X6c,Honor,16,256,599,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G81 Ultra (12 nm),Li-Po 5300 mAh battery35W wired,5300.0,4096
iQOO Neo 10,iQOO,12,256,1999,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 100W PD, 100W PPS, 50% in 15 min, 100% in 36 min\r\nReverse wired\r\nBypass Charging",7000.0,3072
iQOO Neo 10 (Variant 1),iQOO,16,512,2199,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 100W PD, 100W PPS, 50% in 15 min, 100% in 36 min\r\nReverse wired\r\nBypass Charging",7000.0,8192
Realme GT 7 Dream Edtion,Realme,16,512,2999,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9400e (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 14 min to 50%, 40 min to 100%\r\n7.5W reverse wired\r\nBypass charging",7000.0,8192
Realme GT 7T,Realme,12,256,1999,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,Mediatek Dimensity 8400 Max (4 nm),Si/C Li-Ion 7000 mAh battery120W wired\r\nBypass charging,7000.0,3072
Realme GT 7,Realme,12,512,2599,Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,Mediatek Dimensity 9400e (4 nm),"Si/C Li-Ion 7000 mAh battery120W wired, 14 min to 50%, 40 min to 100%\r\n7.5W reverse wired\r\nBypass charging",7000.0,6144
HONOR 400 Pro,HONOR,12,512,2699,Octa-core (1x3.0 GHz Cortex-X4 & 5x2.95 GHz Cortex-A720 & 2x2.0 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"Si/C Li-Ion 5300 mAh - EuropeSi/C Li-Ion 6000 mAh - UAE battery100W wired, 51% in 15 min, 100% in 39 min\r\n50W wireless\r\n5W reverse wired\r\nReverse wireless",5300.0,6144
HONOR 400,HONOR,12,256,1899,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C Li-Ion 5300 mAh - EuropeSi/C Li-Ion 6000 mAh - UAE battery66W wired (for 5300 mAh), 44% in 15 min, 100% in 46 min\r\n66W wired (for 6000 mAh), 44% in 15 min, 100% in 46 min\r\n5W reverse wired",5300.0,3072
HONOR 400 (Variant 1),HONOR,12,512,2199,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),"Si/C Li-Ion 5300 mAh - EuropeSi/C Li-Ion 6000 mAh - UAE battery66W wired (for 5300 mAh), 44% in 15 min, 100% in 46 min\r\n66W wired (for 6000 mAh), 44% in 15 min, 100% in 46 min\r\n5W reverse wired",5300.0,6144
Infinix GT 30 Pro,Infinix,12,256,1299,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 Ultimate (4 nm),5200 mAh or 5500 mAh battery45W wired\r\n30W wireless\r\n10W reverse wired\r\n5W reverse wireless\r\nBypass Charging 2,5200.0,3072
Infinix GT 30 Pro (Variant 1),Infinix,8,12,1499,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,Mediatek Dimensity 8350 Ultimate (4 nm),5200 mAh or 5500 mAh battery45W wired\r\n30W wireless\r\n10W reverse wired\r\n5W reverse wireless\r\nBypass Charging 2,5200.0,96
Redmi 13x,Redmi,8,256,599,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Mediatek Helio G91 Ultra (12 nm),5030 mAh battery33W wired,5030.0,2048
Realme 14T,Realme,8,256,999,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"6000 mAh battery45W wired, 50% in 30 min",6000.0,2048
OPPO Pad SE,OPPO,4,128,699,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Helio G100 (6 nm),"9340 mAh battery33W wired, 33W UFCS, PD",9340.0,512
nubia RedMagic 10 Air,nubia,12,256,3199,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"6000 mAh battery80W wired, 100% in 52 min",6000.0,3072
nubia RedMagic 10 Air (Variant 1),nubia,16,512,3299,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),"6000 mAh battery80W wired, 100% in 52 min",6000.0,8192
vivo V50 Lite,vivo,16,256,1299,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"Si/C Li-Ion 6500 mAh battery90W wired, 50% in 23 min, 100% in 52 min
6W reverse wired",6500.0,4096
vivo V50 Lite (Variant 1),vivo,24,256,1499,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"Si/C Li-Ion 6500 mAh battery90W wired, 50% in 23 min, 100% in 52 min
6W reverse wired",6500.0,6144
vivo V50 Lite (Variant 2),vivo,24,512,1399,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Mediatek Dimensity 6300 (6 nm),"Si/C Li-Ion 6500 mAh battery90W wired, 50% in 23 min, 100% in 52 min
6W reverse wired",6500.0,12288
Nothing CMF Phone 2 Pro,Nothing,8,256,1199,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,Mediatek Dimensity 7300 Pro (4 nm),"5000 mAh battery33W wired
5W reverse wired",5000.0,2048
HONOR 400 Lite,HONOR,12,24,1298,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,Mediatek Dimensity 7025 Ultra (6 nm),Li-Po 5230 mAh battery35W wired,5230.0,288
